,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
yule,0.732,0.559,0.581,1.259,0.001,0.001,0.387,0.505,0.560,0.004,0.000,0.313,0.004
sokalsneath,0.732,0.697,0.559,0.789,0.054,0.054,0.534,0.552,0.708,-0.065,0.053,0.514,-0.083
sokalmichener,0.912,0.870,0.296,0.561,0.505,0.505,0.771,0.839,0.871,0.659,0.504,0.540,0.660
russellrao,0.815,0.732,0.378,0.847,0.325,0.325,0.578,0.698,0.734,0.392,0.324,0.412,0.398
hamming,0.896,0.854,0.333,0.599,0.454,0.454,0.745,0.814,0.855,0.599,0.453,0.544,0.604
rogerstanimoto,0.912,0.870,0.296,0.561,0.505,0.505,0.771,0.839,0.871,0.659,0.504,0.540,0.660
dice,0.732,0.664,0.550,0.872,0.068,0.068,0.497,0.528,0.671,-0.081,0.066,0.467,-0.090
jaccard,0.732,0.623,0.519,0.925,0.119,0.119,0.453,0.505,0.625,-0.086,0.117,0.410,-0.088
kulsinski,0.922,0.878,0.244,0.518,0.566,0.566,0.783,0.856,0.879,0.702,0.565,0.520,0.703
