,DB,S,C,BCV,CUT,MOD,DUNN
yule,3.896,0.065,0.393,0.987,1.034,0.127,0.761
sokalsneath,1.915,-0.007,0.474,6.912,1.033,0.008,0.073
sokalmichener,1.725,0.183,0.217,1.447,1.097,0.083,0.373
russellrao,2.221,0.159,0.229,0.902,1.089,0.138,0.798
hamming,1.712,0.168,0.255,1.712,1.090,0.068,0.307
rogerstanimoto,1.725,0.183,0.217,1.447,1.097,0.083,0.373
dice,2.723,0.029,0.446,3.911,1.028,0.021,0.129
jaccard,2.031,0.080,0.400,2.298,1.063,0.046,0.224
kulsinski,1.815,0.192,0.186,1.119,1.105,0.111,0.518
