,accuracy,precision,recall,f1
adam,0.9842,0.9910096818810512,0.9818430969510106,0.9864050937876442
nadam,0.9822,0.9913194444444444,0.9780746831106544,0.9846525262976376
adagrad,0.945,0.9807272727272728,0.9239465570400822,0.9514905627094725
rmsprop,0.9688,0.9932167083184577,0.9530661185337445,0.9727272727272727
sgd,0.9448,0.9807202619134231,0.9236039739636862,0.9513055751587862
