,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
yule,0.534,0.530,0.691,1.315,0.003,0.003,0.361,0.501,0.531,0.002,0.000,0.282,0.002
sokalsneath,0.729,0.648,0.492,0.850,0.321,0.321,0.480,0.604,0.653,0.208,0.319,0.365,0.216
sokalmichener,0.675,0.629,0.545,0.886,0.250,0.250,0.459,0.560,0.637,0.120,0.248,0.374,0.129
russellrao,0.726,0.630,0.547,1.010,0.224,0.224,0.460,0.601,0.632,0.202,0.222,0.340,0.205
hamming,0.740,0.652,0.494,0.873,0.312,0.312,0.483,0.614,0.655,0.228,0.310,0.361,0.233
rogerstanimoto,0.675,0.629,0.545,0.886,0.250,0.250,0.459,0.560,0.637,0.120,0.248,0.374,0.129
dice,0.685,0.619,0.572,0.999,0.194,0.194,0.448,0.567,0.624,0.134,0.192,0.352,0.140
jaccard,0.760,0.658,0.500,0.927,0.294,0.294,0.490,0.634,0.659,0.269,0.292,0.351,0.271
kulsinski,0.723,0.643,0.512,0.890,0.289,0.289,0.474,0.598,0.647,0.196,0.287,0.362,0.203
