,DB,S,C,BCV,CUT,MOD,DUNN
yule,3.675,0.056,0.422,1.236,1.036,0.100,0.485
sokalsneath,2.046,0.180,0.180,1.368,1.079,0.089,0.404
sokalmichener,1.882,0.180,0.192,1.818,1.074,0.063,0.289
russellrao,2.256,0.162,0.212,1.143,1.077,0.109,0.519
hamming,2.030,0.185,0.170,1.264,1.084,0.098,0.447
rogerstanimoto,1.882,0.180,0.192,1.818,1.074,0.063,0.289
dice,2.216,0.152,0.238,1.491,1.068,0.081,0.366
jaccard,2.399,0.155,0.220,1.099,1.073,0.113,0.555
kulsinski,2.077,0.177,0.184,1.372,1.077,0.089,0.403
