,accuracy,precision,recall,f1
adam,0.977,0.9814560439560439,0.9791024323398424,0.9802778254158806
nadam,0.9856,0.9951304347826087,0.9801301815690305,0.9875733517431826
adagrad,0.9326,0.9827973074046372,0.9003083247687564,0.9397461112104416
rmsprop,0.9828,0.9886167644015178,0.9818430969510106,0.9852182880715022
sgd,0.9304,0.9784145887606996,0.9006509078451524,0.9379236532286835
