,accuracy,precision,recall,f1
adam,0.9822,0.9872589531680441,0.9821856800274067,0.9847157822428302
nadam,0.979,0.9815195071868583,0.9825282631038027,0.9820236260914228
adagrad,0.9448,0.9807202619134231,0.9236039739636862,0.9513055751587862
rmsprop,0.98,0.9930045470444211,0.9725933538883179,0.982692973347179
sgd,0.9446,0.9807132459970888,0.9232613908872902,0.9511205223222163
