,DB,S,C,BCV,CUT,MOD,DUNN
yule,12.268,0.017,0.479,0.983,1.012,0.127,0.915
sokalsneath,8.187,0.027,0.454,1.032,1.015,0.121,0.722
sokalmichener,2.562,0.136,0.257,2.019,1.045,0.055,0.260
russellrao,2.102,0.181,0.201,0.812,1.105,0.152,1.172
hamming,2.612,0.135,0.276,0.984,1.068,0.127,0.688
rogerstanimoto,1.875,0.158,0.211,3.031,1.051,0.031,0.168
dice,9.428,0.018,0.472,1.082,1.013,0.115,0.643
jaccard,5.621,0.045,0.427,0.988,1.024,0.126,0.799
kulsinski,2.148,0.177,0.209,0.818,1.101,0.151,1.141
