,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
yule,0.527,0.499,0.691,1.382,0.002,0.002,0.332,0.500,0.499,0.000,0.000,0.249,0.000
sokalsneath,0.548,0.510,0.687,1.358,0.008,0.008,0.342,0.503,0.510,0.006,0.005,0.259,0.006
sokalmichener,0.616,0.605,0.632,1.045,0.104,0.104,0.434,0.525,0.614,0.052,0.101,0.363,0.057
russellrao,0.932,0.872,0.227,0.452,0.673,0.673,0.773,0.872,0.872,0.744,0.672,0.436,0.744
hamming,0.685,0.581,0.612,1.188,0.120,0.120,0.409,0.567,0.581,0.134,0.118,0.300,0.134
rogerstanimoto,0.606,0.626,0.603,0.887,0.168,0.168,0.456,0.521,0.642,0.043,0.165,0.401,0.052
dice,0.517,0.510,0.692,1.359,0.000,0.000,0.342,0.498,0.510,-0.003,-0.002,0.261,-0.003
jaccard,0.545,0.506,0.688,1.365,0.007,0.007,0.339,0.502,0.507,0.005,0.004,0.255,0.005
kulsinski,0.921,0.854,0.255,0.507,0.633,0.633,0.746,0.854,0.854,0.709,0.633,0.427,0.709
