,accuracy,precision,recall,f1
adam,0.972,0.9936056838365896,0.9582048646796848,0.9755842343913498
nadam,0.9742,0.9960881934566145,0.9595751969852689,0.9774908392950619
adagrad,0.9726,0.99361249112846,0.9592326139088729,0.9761199233048632
rmsprop,0.9742,0.9950319375443577,0.960602946214457,0.9775143803381559
sgd,0.9746,0.9929378531073446,0.9633436108256253,0.9779168840201704
