,accuracy,precision,recall,f1
adam,0.9658,0.9921203438395415,0.9489551216169921,0.9700577832253545
nadam,0.9602,0.9735376044568245,0.9578622816032888,0.9656363322396823
adagrad,0.966,0.9938914840100611,0.947584789311408,0.9701858996843212
rmsprop,0.967,0.9914346895074947,0.9516957862281603,0.9711588883062403
sgd,0.9692,0.9879985880691846,0.9588900308324769,0.9732267037552157
