,accuracy,precision,recall,f1
adam,0.9684,0.9907571987202275,0.9547790339157246,0.9724354501046756
nadam,0.9706,0.9928876244665719,0.9564919492977046,0.9743500261734427
adagrad,0.9702,0.9935851746258019,0.9551216169921206,0.9739737991266376
rmsprop,0.9708,0.9918410783965945,0.9578622816032888,0.9745555942837225
sgd,0.9622,0.993135838150289,0.9417608770126755,0.9667663091260771
