,DB,S,C,BCV,CUT,MOD,DUNN
yule,4.008,0.062,0.405,0.953,1.034,0.131,0.873
sokalsneath,1.835,0.203,0.155,0.963,1.111,0.130,0.655
sokalmichener,2.012,0.183,0.194,0.807,1.107,0.153,1.225
russellrao,1.759,0.210,0.149,0.996,1.115,0.125,0.612
hamming,1.610,0.190,0.215,1.597,1.100,0.074,0.331
rogerstanimoto,2.007,0.174,0.218,0.855,1.105,0.145,0.873
dice,4.700,0.047,0.433,1.059,1.029,0.118,0.647
jaccard,4.425,0.056,0.418,0.953,1.033,0.131,0.885
kulsinski,1.759,0.210,0.149,0.996,1.115,0.125,0.612
