,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
yule,0.732,0.550,0.582,1.270,0.000,0.000,0.379,0.500,0.552,-0.001,-0.001,0.305,-0.001
sokalsneath,0.909,0.857,0.231,0.524,0.573,0.573,0.749,0.834,0.858,0.662,0.572,0.494,0.667
sokalmichener,0.777,0.686,0.339,0.788,0.382,0.382,0.522,0.653,0.689,0.306,0.381,0.380,0.313
russellrao,0.938,0.899,0.160,0.374,0.693,0.693,0.817,0.883,0.900,0.759,0.692,0.523,0.764
hamming,0.933,0.901,0.243,0.430,0.612,0.612,0.820,0.875,0.902,0.732,0.611,0.570,0.737
rogerstanimoto,0.732,0.622,0.394,0.889,0.297,0.297,0.452,0.578,0.625,0.154,0.296,0.347,0.157
dice,0.732,0.557,0.572,1.229,0.016,0.016,0.386,0.499,0.559,-0.012,0.015,0.315,-0.012
jaccard,0.732,0.555,0.565,1.240,0.026,0.026,0.384,0.507,0.558,0.013,0.025,0.308,0.014
kulsinski,0.938,0.899,0.160,0.374,0.693,0.693,0.817,0.883,0.900,0.759,0.692,0.523,0.764
