,accuracy,precision,recall,f1
adam,0.9828,0.9856016455262255,0.9849263446385749,0.985263879369431
nadam,0.983,0.9947625698324022,0.9760191846522782,0.9853017464983572
adagrad,0.9424,0.9706618962432916,0.9294278862624187,0.9495974798739937
rmsprop,0.9816,0.9954433929197336,0.9729359369647139,0.9840609840609842
sgd,0.9404,0.9662041977943793,0.9304556354916067,0.9479930191972077
